kabupaten,bulan,tahun,alokasi_urea,distribusi_urea,alokasi_organik,distribusi_organik,alokasi_za,distribusi_za,alokasi_NPK,distribusi_NPK,curah_hujan,suhu,luas_panen_padi,produksi_padi_ton,luas_panen_jagung,produksi_jagung_ton,luas_panen_kedelai,produksi_kedelai_ton
Gresik,Juni,2023,26083,12183.0,0,0.0,0.0,0.0,13378,6276.2,0.36,28.17,5542,27987,1422,8107,"12,88","22,20"
Gresik,Juli,2023,26083,13978.4,0,0.0,0.0,0.0,13378,7253.3,0.65,27.75,5542,27931,1126,6386,"17,87","32,06"
Gresik,Agustus,2023,26083,15018.4,0,0.0,0.0,0.0,13378,7746.5,0.0,27.94,5542,27876,997,5702,"21,50","38,57"
Gresik,September,2023,26083,16431.5,0,0.0,0.0,0.0,13378,8546.3,0.08,28.64,8802,44186,1101,6168,"30,45","54,62"
Gresik,Oktober,2023,26083,19410.1,0,0.0,0.0,0.0,13378,10103.1,0.18,30.24,8802,44098,974,5535,"20,08","36,03"
Gresik,November,2023,26083,22413.7,0,0.0,0.0,0.0,13378,11585.8,2.38,29.57,7172,35860,835,4651,"6,82","11,76"
Gresik,Desember,2023,26083,24509.2,0,0.0,0.0,0.0,13378,12555.7,6.42,28.5,7172,35788,840,4752,"0,68","1,15"
Gresik,Januari,2024,16129,0.0,0,0.0,0.0,0.0,9726,0.0,10.35,27.38,7279,37195,1053,6107,"0,95","1,62"
Gresik,Februari,2024,16129,91.8,0,0.0,0.0,0.0,9726,48.2,12.88,27.15,7279,37122,1836,10503,"0,99","1,68"
Gresik,Maret,2024,16129,1232.6,0,0.0,0.0,0.0,9726,775.5,7.48,27.5,8934,45474,1409,8144,"1,52","2,63"
Gresik,April,2024,27585,2806.3,0,0.0,0.0,0.0,20786,1749.5,6.54,28.04,8934,45384,921,5287,"2,56","4,43"
Gresik,Mei,2024,27585,5601.1,0,0.0,0.0,0.0,20786,3426.4,0.34,29.34,5625,28518,1076,6206,"5,48","9,51"
Gresik,Juni,2024,27585,7509.2,0,0.0,0.0,0.0,20786,4609.0,1.62,28.65,5625,28462,1353,7714,"9,58","16,60"
Gresik,Juli,2024,27585,9230.1,0,0.0,0.0,0.0,20786,5915.5,0.32,28.07,5625,28406,1070,6076,"13,50","24,35"
Gresik,Agustus,2024,27585,10982.2,0,0.0,0.0,0.0,20786,7389.7,0.09,28.45,5625,28350,919,5264,"16,40","29,58"
Gresik,September,2024,27585,12536.6,0,0.0,0.0,0.0,20786,8691.7,01.06,29.29,8934,44938,1116,6251,"23,10","41,68"
Gresik,Oktober,2024,28545,14030.0,0,0.0,0.0,0.0,20786,10014.2,1.61,29.96,8934,44848,955,5424,"15,02","27,10"
Gresik,November,2024,28545,17130.8,0,0.0,0.0,0.0,20786,12721.8,7.12,28.27,7279,36467,813,4683,"5,05","8,75"
Gresik,Desember,2024,28545,22662.6,0,0.0,0.0,0.0,20786,17891.2,13.73,27.01,7279,36395,795,4505,"0,50","0,85"
Gresik,Januari,2025,26198,200.6,537,0.0,0.0,0.0,19612,171.6,13.28,26.47,7387,37895,1144,6648,"0,68","1,13"
Gresik,Februari,2025,26198,657.8,0,0.0,0.0,0.0,0,514.2,9.77,26.63,7387,37821,1934,11065,"0,70","1,17"
Gresik,Maret,2025,26198,1849.3,0,0.0,0.0,0.0,19612,1422.2,9.83,27.24,9066,46327,1552,8969,"1,06","1,80"
Gresik,April,2025,26198,3773.6,537,68.79,0.0,0.0,19648,3071.7,4.59,27.4,9066,46236,1014,5819,"1,77","3,01"
Gresik,Mei,2025,26198,5757.4,537,68.99,0.0,0.0,19648,4573.1,5.62,27.4,5708,29053,1144,6610,"3,80","6,47"
Gresik,Juni,2025,26198,6696.7,537,77.98,0.0,0.0,19648,5284.0,2.25,27.63,5708,28996,1429,8157,"6,73","11,47"
Gresik,Juli,2025,26198,8675.4,537,102.1,0.0,0.0,19648,6895.1,0.35,27.59,5708,28939,1131,6424,"9,59","17,02"
Gresik,Agustus,2025,26198,9858.0,537,112.71,0.0,0.0,19648,7820.2,0.87,27.87,5708,28882,1000,5732,"11,64","20,64"
Gresik,September,2025,23197,11178.2,537,133.27,457.0,0.0,19648,8973.8,01.08,28.75,9066,45783,1145,6630,"16,17","28,69"
Gresik,Oktober,2025,23197,13026.0,537,148.0,457.0,14.45,19148,10712.1,4.11,28.79,9066,45692,978,5563,"10,39","18,42"
Gresik,November,2025,24197,16541.47,537,165.2,78.0,20.48,18248,13864.47,9.56,27.34,7387,37156,857,4935,"3,49","5,95"
Gresik,Desember,2025,23297,21389.81,537,226.2,77.68,59.05,18317,18071.13,5.93,27.37,7387,37082,837,4746,"0,35","0,59"
Jember,Januari,2023,69181,8686.9,0,0.0,0.0,0.0,39478,5292.5,7.76,25.99,4004,20420,3498,22213,"22,31","37,17"
Jember,Februari,2023,69181,14491.6,0,0.0,0.0,0.0,39478,8827.9,17.14,25.55,4004,20380,6247,39730,"22,68","37,78"
Jember,Maret,2023,69181,19766.7,0,0.0,0.0,0.0,39478,11696.4,6.83,26.36,4914,24963,4951,31388,"34,95","59,26"
Jember,April,2023,69181,25904.4,0,0.0,0.0,0.0,39478,15375.3,6.33,26.33,4914,24913,3045,19186,"60,34","102,32"
Jember,Mei,2023,69181,36138.2,0,0.0,0.0,0.0,39478,20796.6,1.98,26.45,3094,15655,3585,22409,"132,71","225,05"
Jember,Juni,2023,69181,40250.7,0,0.0,0.0,0.0,39478,23405.3,1.35,26.6,3094,15624,4313,27387,"233,27","395,57"
Jember,Juli,2023,69181,44704.7,0,0.0,0.0,0.0,39478,25625.8,3.45,25.15,3094,15593,3618,22900,"322,79","569,97"
Jember,Agustus,2023,69181,49971.7,0,0.0,0.0,0.0,39478,28971.2,0.2,25.82,3094,15562,3053,19144,"382,08","674,66"
Jember,September,2023,69181,54958.7,0,0.0,0.0,0.0,39478,31691.5,0.62,26.2,4914,24668,3483,22119,"532,00","939,38"
Jember,Oktober,2023,69181,58827.0,0,0.0,0.0,0.0,39478,33977.5,1.84,27.8,4914,24619,3167,19731,"349,43","617,02"
Jember,November,2023,69181,63606.7,0,0.0,0.0,0.0,39478,36447.0,4.3,27.72,4004,20020,2683,16689,"119,99","203,47"
Jember,Desember,2023,69181,66555.1,0,0.0,0.0,0.0,39478,38216.6,7.39,26.96,4004,19979,2701,17043,"12,12","20,18"
Jember,Januari,2024,37007,1353.7,0,0.0,0.0,0.0,24257,749.7,8.73,26.92,4064,20767,3442,21857,"15,99","26,80"
Jember,Februari,2024,37007,5400.1,0,0.0,0.0,0.0,24257,2838.7,7.84,26.9,4064,20726,5949,37836,"16,35","27,40"
Jember,Maret,2024,37007,7917.4,0,0.0,0.0,0.0,24257,4297.2,6.77,26.92,4987,25383,4640,29417,"24,98","42,60"
Jember,April,2024,63248,10480.3,0,0.0,0.0,0.0,51839,5699.9,11.06,27.06,4987,25333,3030,19091,"42,50","72,49"
Jember,Mei,2024,63248,16728.9,0,0.0,0.0,0.0,51839,9679.0,1.4,27.24,3140,15919,3452,21574,"92,76","158,23"
Jember,Juni,2024,63248,22588.2,0,0.0,0.0,0.0,51839,13844.4,01.09,27.0,3140,15888,4114,26167,"164,02","279,78"
Jember,Juli,2024,63248,29124.0,0,0.0,0.0,0.0,51839,19313.7,1.46,26.23,3140,15857,3452,21885,"230,43","409,19"
Jember,Agustus,2024,63248,35209.2,0,0.0,0.0,0.0,51839,24782.8,0.47,25.93,3140,15825,3005,18840,"275,49","489,21"
Jember,September,2024,63248,41008.1,0,0.0,0.0,0.0,51839,30383.6,2.19,26.82,4987,25084,3333,21198,"381,73","677,86"
Jember,Oktober,2024,64956,47224.9,0,0.0,0.0,0.0,51839,37331.9,2.33,27.67,4987,25034,2934,18280,"247,11","438,81"
Jember,November,2024,64956,52610.9,0,0.0,0.0,0.0,51839,43371.6,11.41,26.98,4064,20360,2555,15890,"83,93","143,16"
Jember,Desember,2024,64956,58638.5,0,0.0,0.0,0.0,51839,47860.1,14.17,26.22,4064,20320,2572,16230,"8,49","14,23"
Jember,Januari,2025,65001,4803.3,609,7.46,0.0,0.0,49488,3752.1,12.96,25.93,4124,21156,3543,22536,"10,42","17,15"
Jember,Februari,2025,65001,8788.7,0,0.0,0.0,0.0,49488,6998.8,6.83,26.35,4124,21114,6293,40084,"10,59","17,43"
Jember,Maret,2025,65001,11794.4,0,0.0,0.0,0.0,49488,9358.2,6.15,26.56,5061,25861,4827,30654,"15,94","26,71"
Jember,April,2025,65001,17321.1,609,168.93,0.0,0.0,49526,14025.2,2.59,26.72,5061,25811,3154,19903,"26,85","45,00"
Jember,Mei,2025,65001,25976.1,609,321.97,0.0,0.0,49526,21326.1,4.62,26.78,3186,16216,3697,23105,"58,82","98,56"
Jember,Juni,2025,65001,31420.7,609,391.95,0.0,0.0,49526,26001.0,1.9,26.55,3186,16184,4643,29532,"105,45","176,72"
Jember,Juli,2025,67687,37433.5,1977,441.08,0.0,0.0,51026,31010.2,2.78,25.41,3186,16153,3669,23264,"149,82","261,56"
Jember,Agustus,2025,67687,44034.9,1977,547.65,0.0,0.0,51026,37133.5,03.05,25.85,3186,16121,3283,20620,"178,85","312,23"
Jember,September,2025,67687,51023.2,1977,756.36,1939.0,13.96,53167,44118.2,2.99,26.31,5061,25558,3554,22602,"244,46","426,76"
Jember,Oktober,2025,67687,56106.0,1747,875.69,1939.0,48.59,54367,49214.8,6.54,26.6,5061,25507,3208,20021,"156,24","272,76"
Jember,November,2025,69564,61500.0,1747,1055.17,156.0,77.61,55330,53929.01,9.0,26.25,4124,20743,2702,16831,"53,08","88,95"
Jember,Desember,2025,69962,66364.29,1747,1180.56,156.37,108.93,58135,57603.62,6.3,26.34,4124,20702,2721,17194,"5,44","8,95"
Jombang,Januari,2023,29849,3785.1,0,0.0,0.0,0.0,17171,1914.7,10.34,25.9,5588,28498,2146,12082,"9,30","13,33"
Jombang,Februari,2023,29849,7177.9,0,0.0,0.0,0.0,17171,3778.1,21.75,25.1,5588,28442,3774,21549,"9,32","13,36"
Jombang,Maret,2023,29849,8903.9,0,0.0,0.0,0.0,17171,4731.8,13.67,25.82,6858,34838,2936,16617,"13,55","19,83"
Jombang,April,2023,29849,11382.1,0,0.0,0.0,0.0,17171,6186.1,6.97,26.38,6858,34770,1923,10786,"22,18","32,47"
Jombang,Mei,2023,29849,15518.6,0,0.0,0.0,0.0,17171,8413.3,2.25,26.55,4318,21849,2117,11938,"48,15","70,48"
Jombang,Juni,2023,29849,17553.6,0,0.0,0.0,0.0,17171,9492.3,0.85,27.27,4318,21805,2587,14721,"87,85","128,60"
Jombang,Juli,2023,29849,19313.6,0,0.0,0.0,0.0,17171,10484.8,1.26,26.48,4318,21762,2172,12314,"128,38","196,92"
Jombang,Agustus,2023,29849,21280.8,0,0.0,0.0,0.0,17171,11708.2,0.1,26.65,4318,21719,1817,10413,"157,69","241,87"
Jombang,September,2023,29849,23630.8,0,0.0,0.0,0.0,17171,13018.2,0.36,27.48,6858,34427,2237,12484,"216,19","331,61"
Jombang,Oktober,2023,29849,25046.9,0,0.0,0.0,0.0,17171,13824.8,0.14,29.48,6858,34358,1886,10732,"134,46","206,25"
Jombang,November,2023,29849,26635.6,0,0.0,0.0,0.0,17171,14822.2,4.28,28.81,5588,27940,1625,9051,"44,06","64,50"
Jombang,Desember,2023,29849,27875.8,0,0.0,0.0,0.0,17171,15681.5,6.53,27.92,5588,27884,1633,9243,"4,41","6,32"
Jombang,Januari,2024,14704,1959.2,0,0.0,0.0,0.0,10094,1211.1,13.49,26.81,5671,28978,2042,11866,"7,02","10,14"
Jombang,Februari,2024,14704,4040.5,0,0.0,0.0,0.0,10094,2533.0,18.31,26.37,5671,28922,3581,20484,"7,08","10,22"
Jombang,Maret,2024,14704,4935.7,0,0.0,0.0,0.0,10094,3157.1,13.89,26.5,6960,35426,2745,15539,"10,21","15,05"
Jombang,April,2024,25128,6122.9,5642,0.0,0.0,0.0,21575,3952.7,10.7,26.94,6960,35356,1739,10089,"16,47","24,28"
Jombang,Mei,2024,25128,8175.0,5642,0.0,0.0,0.0,21575,5265.7,0.71,27.53,4382,22216,2031,11473,"35,47","52,27"
Jombang,Juni,2024,25128,10223.0,5642,0.0,0.0,0.0,21575,6930.4,02.07,27.02,4382,22172,2616,14910,"65,15","96,02"
Jombang,Juli,2024,25128,11877.9,5642,0.0,0.0,0.0,21575,8664.8,0.51,26.48,4382,22129,2071,11745,"96,68","149,26"
Jombang,Agustus,2024,25128,13473.9,5642,0.0,0.0,0.0,21575,10651.5,0.17,27.11,4382,22085,1782,10229,"119,84","185,01"
Jombang,September,2024,25128,15769.7,5642,0.0,0.0,0.0,21575,12858.6,2.82,27.9,6960,35008,2070,11944,"163,57","252,54"
Jombang,Oktober,2024,25128,17319.1,14279,47.84,0.0,0.0,21575,14392.3,2.71,28.67,6960,34939,1744,9926,"100,32","154,89"
Jombang,November,2024,25128,19748.6,14279,641.42,0.0,0.0,21575,16700.4,9.86,27.47,5671,28411,1496,8602,"32,49","47,88"
Jombang,Desember,2024,25128,22565.9,14279,1287.21,0.0,0.0,21575,19199.4,22.9,26.44,5671,28355,1550,8787,"3,26","4,70"
Jombang,Januari,2025,23554,3595.6,20277,1424.01,0.0,0.0,20242,2527.2,16.55,25.93,5755,29523,2092,12178,"4,82","6,81"
Jombang,Februari,2025,23554,6147.2,0,0.0,0.0,0.0,20242,4869.5,14.3,25.89,5755,29465,3775,21594,"4,83","6,83"
Jombang,Maret,2025,23554,7150.1,0,0.0,0.0,0.0,20242,5901.0,14.28,26.26,7063,36091,3026,17125,"6,87","9,91"
Jombang,April,2025,23554,9030.6,20277,4817.15,0.0,0.0,20324,7444.3,9.32,26.32,7063,36021,1916,11111,"10,96","15,82"
Jombang,Mei,2025,23554,12371.9,20277,6217.01,0.0,0.0,20324,10062.9,9.38,26.29,4447,22635,2164,12229,"23,67","34,18"
Jombang,Juni,2025,23554,14073.5,20277,7029.72,0.0,0.0,20324,11449.1,3.35,26.09,4447,22590,2768,15777,"44,12","63,71"
Jombang,Juli,2025,25754,15446.0,13677,7776.07,0.0,0.0,21324,12812.6,1.0,25.96,4447,22546,2188,12427,"66,17","100,17"
Jombang,Agustus,2025,25754,17345.0,13677,8236.08,0.0,0.0,21324,14461.0,2.51,26.25,4447,22501,1941,11141,"81,86","123,93"
Jombang,September,2025,25754,19789.2,13677,8678.6,6275.0,0.0,22324,16620.6,2.33,27.04,7063,35668,2197,12675,"110,32","167,01"
Jombang,Oktober,2025,25754,21361.1,14243,9049.8,6275.0,18.36,22324,18190.1,04.06,27.45,7063,35597,1898,10818,"66,80","101,13"
Jombang,November,2025,27454,23477.82,14243,10045.54,440.0,265.85,22724,20828.24,14.01,26.66,5755,28947,1574,9068,"21,63","31,22"
Jombang,Desember,2025,27454,25639.76,14299,10800.72,431.2,378.65,23889,23461.15,10.81,26.96,5755,28890,1634,9264,"2,20","3,10"
Kediri,Januari,2023,44367,3832.1,0,0.0,0.0,0.0,17084,1732.9,07.02,25.76,3410,19437,2463,14579,"1,90","3,29"
Kediri,Februari,2023,44367,8550.7,0,0.0,0.0,0.0,17084,3960.8,18.2,24.82,3410,19402,4150,24980,"1,87","3,24"
Kediri,Maret,2023,44367,12222.7,0,0.0,0.0,0.0,17084,5430.9,9.0,25.79,4185,23770,3257,19738,"2,78","4,91"
Kediri,April,2023,44367,15507.2,0,0.0,0.0,0.0,17084,6652.9,7.1,26.28,4185,23728,2128,12813,"4,75","8,38"
Kediri,Mei,2023,44367,20419.8,0,0.0,0.0,0.0,17084,8473.8,3.46,26.46,2635,14914,2381,14307,"10,66","18,79"
Kediri,Juni,2023,44367,23571.7,0,0.0,0.0,0.0,17084,9435.2,1.37,26.8,2635,14887,3095,18785,"19,41","34,22"
Kediri,Juli,2023,44367,27030.8,0,0.0,0.0,0.0,17084,10487.1,0.5,25.99,2635,14861,2446,14798,"27,61","50,62"
Kediri,Agustus,2023,44367,29884.4,0,0.0,0.0,0.0,17084,11462.6,0.03,26.05,2635,14835,2087,12563,"32,56","59,69"
Kediri,September,2023,44367,32724.4,0,0.0,0.0,0.0,17084,12418.5,0.1,26.56,4185,23519,2459,14534,"43,90","80,49"
Kediri,Oktober,2023,44367,35574.1,0,0.0,0.0,0.0,17084,13357.5,0.79,28.46,4185,23477,2165,12947,"27,86","51,07"
Kediri,November,2023,44367,38651.3,0,0.0,0.0,0.0,17084,14462.4,4.41,28.58,3410,19096,1895,11141,"9,45","16,66"
Kediri,Desember,2023,44367,41973.6,0,0.0,0.0,0.0,17084,15785.1,6.55,28.11,3410,19061,1795,10716,"0,97","1,69"
Kediri,Januari,2024,21175,929.0,0,0.0,0.0,0.0,19042,751.5,10.07,26.85,3461,19762,2314,14137,"1,45","2,53"
Kediri,Februari,2024,21175,3410.5,0,0.0,0.0,0.0,19042,2635.9,11.37,26.61,3461,19727,4128,24891,"1,44","2,51"
Kediri,Maret,2024,21175,5385.1,0,0.0,0.0,0.0,19042,4393.4,7.89,26.76,4247,24165,3195,19359,"2,12","3,76"
Kediri,April,2024,36207,7403.7,6730,0.0,0.0,0.0,40698,5858.3,9.41,27.26,4247,24122,1965,11832,"3,57","6,33"
Kediri,Mei,2024,36207,11082.9,6730,0.0,0.0,0.0,40698,8940.0,1.35,27.66,2674,15161,2259,13578,"7,94","14,08"
Kediri,Juni,2024,36207,13822.7,6730,0.0,0.0,0.0,40698,11592.0,0.67,27.69,2674,15134,2915,17697,"14,56","25,81"
Kediri,Juli,2024,36207,17526.8,6730,0.0,0.0,0.0,40698,16893.3,1.23,26.59,2674,15108,2304,13940,"21,02","38,75"
Kediri,Agustus,2024,36207,20759.2,6730,0.0,0.0,0.0,40698,21850.0,0.46,26.49,2674,15081,2021,12189,"25,03","46,13"
Kediri,September,2024,36207,23676.0,6730,91.75,0.0,0.0,40698,26462.5,2.45,27.36,4247,23910,2323,13730,"33,60","61,94"
Kediri,Oktober,2024,37378,27231.6,3843,319.47,0.0,0.0,40698,32397.3,1.85,27.95,4247,23868,1974,11825,"21,01","38,73"
Kediri,November,2024,37378,30872.9,3843,525.37,0.0,0.0,40698,37529.7,11.19,26.95,3461,19416,1726,10458,"7,05","12,49"
Kediri,Desember,2024,37378,34870.9,3843,637.01,0.0,0.0,40698,40480.4,9.99,26.03,3461,19381,1786,10679,"0,73","1,27"
Kediri,Januari,2025,34815,2843.9,3078,555.55,0.0,0.0,38627,3257.0,10.19,25.7,3512,20123,2400,14665,"1,01","1,73"
Kediri,Februari,2025,34815,5708.6,0,0.0,0.0,0.0,38627,6641.9,6.1,26.14,3512,20088,4400,26535,"0,99","1,70"
Kediri,Maret,2025,34815,7865.5,0,0.0,0.0,0.0,38627,9167.7,9.85,26.05,4310,24610,3345,20305,"1,45","2,52"
Kediri,April,2025,34815,10906.7,3078,1791.73,0.0,0.0,38676,12407.2,4.94,26.56,4310,24567,2185,13178,"2,41","4,20"
Kediri,Mei,2025,34815,14291.2,3078,2164.03,0.0,0.0,38676,16186.9,8.76,26.22,2714,15442,2430,14629,"5,38","9,37"
Kediri,Juni,2025,34815,17056.5,3078,2353.59,0.0,0.0,38676,19918.3,2.7,26.46,2714,15415,3113,18925,"10,00","17,43"
Kediri,Juli,2025,39000,20612.9,8078,2604.93,0.0,0.0,41421,24370.5,0.64,25.86,2714,15388,2464,14906,"14,59","26,46"
Kediri,Agustus,2025,39000,24275.4,8078,3039.81,0.0,0.0,41421,29119.3,2.16,26.2,2714,15361,2096,12637,"17,35","31,46"
Kediri,September,2025,39000,27862.2,8078,3771.68,9284.0,23.62,43421,34324.5,2.68,26.79,4310,24351,2414,14728,"22,99","41,68"
Kediri,Oktober,2025,39000,30699.1,8078,4343.18,9284.0,199.99,44421,38731.2,5.12,27.02,4310,24308,2175,13028,"14,19","25,72"
Kediri,November,2025,40200,34042.19,8078,5059.47,1340.0,562.26,45321,43462.94,11.43,26.14,3512,19772,1836,11146,"4,76","8,29"
Kediri,Desember,2025,40200,37250.16,8078,5593.83,1341.48,887.52,46283,46012.72,3.97,26.69,3512,19737,1903,11381,"0,50","0,85"
Kota Batu,Januari,2023,356,12.8,0,0.0,0.0,0.0,372,6.2,7.92,21.23,9746,55552,195,1040,"0,06","0,10"
Kota Batu,Februari,2023,356,32.9,0,0.0,0.0,0.0,372,20.1,14.71,21.41,9746,55454,334,1765,"0,06","0,10"
Kota Batu,Maret,2023,356,68.6,0,0.0,0.0,0.0,372,51.4,12.16,21.48,11961,67938,264,1418,"0,10","0,15"
Kota Batu,April,2023,356,84.2,0,0.0,0.0,0.0,372,62.7,11.6,21.48,11961,67818,163,867,"0,17","0,26"
Kota Batu,Mei,2023,356,109.8,0,0.0,0.0,0.0,372,83.2,2.64,21.44,7531,42625,187,1004,"0,38","0,58"
Kota Batu,Juni,2023,356,135.9,0,0.0,0.0,0.0,372,107.1,05.08,21.24,7531,42550,248,1300,"0,66","1,02"
Kota Batu,Juli,2023,356,152.3,0,0.0,0.0,0.0,372,125.6,5.21,20.11,7531,42474,196,1024,"0,91","1,47"
Kota Batu,Agustus,2023,356,177.9,0,0.0,0.0,0.0,372,153.1,01.02,20.2,7531,42399,171,897,"1,08","1,74"
Kota Batu,September,2023,356,198.2,0,0.0,0.0,0.0,372,170.1,1.13,20.86,11961,67220,196,1029,"1,50","2,42"
Kota Batu,Oktober,2023,356,236.1,0,0.0,0.0,0.0,372,214.0,0.92,23.27,11961,67101,167,870,"0,98","1,59"
Kota Batu,November,2023,356,258.7,0,0.0,0.0,0.0,372,243.5,5.7,22.87,9746,54577,139,741,"0,34","0,52"
Kota Batu,Desember,2023,356,316.0,0,0.0,0.0,0.0,372,298.9,11.22,21.82,9746,54480,145,757,"0,03","0,05"
Kota Batu,Januari,2024,244,3.3,0,0.0,0.0,0.0,246,2.4,10.1,21.99,9892,56483,181,965,"0,05","0,07"
Kota Batu,Februari,2024,244,17.9,0,0.0,0.0,0.0,246,15.6,16.33,22.06,9892,56384,319,1682,"0,05","0,07"
Kota Batu,Maret,2024,244,37.6,0,0.0,0.0,0.0,246,37.8,19.33,22.28,12140,69076,248,1331,"0,07","0,11"
Kota Batu,April,2024,418,53.3,0,0.0,0.0,0.0,526,47.1,14.28,22.34,12140,68955,162,864,"0,13","0,20"
Kota Batu,Mei,2024,418,75.8,0,0.0,0.0,0.0,526,67.4,4.55,21.85,7643,43335,180,968,"0,28","0,43"
Kota Batu,Juni,2024,418,112.1,0,0.0,0.0,0.0,526,118.9,04.05,21.35,7643,43259,237,1244,"0,49","0,76"
Kota Batu,Juli,2024,418,147.5,0,0.0,0.0,0.0,526,187.6,0.94,20.45,7643,43182,187,980,"0,68","1,11"
Kota Batu,Agustus,2024,418,164.9,0,0.0,0.0,0.0,526,227.1,0.61,20.81,7643,43106,158,832,"0,82","1,32"
Kota Batu,September,2024,418,208.1,0,0.0,0.0,0.0,526,283.2,4.71,21.83,12140,68348,187,987,"1,13","1,83"
Kota Batu,Oktober,2024,418,251.1,0,0.0,0.0,0.0,526,359.7,3.83,22.3,12140,68226,164,857,"0,73","1,18"
Kota Batu,November,2024,418,293.9,0,0.0,0.0,0.0,526,439.5,8.32,22.4,9892,55494,141,750,"0,25","0,39"
Kota Batu,Desember,2024,418,356.2,0,0.0,0.0,0.0,526,517.0,19.91,21.7,9892,55395,138,722,"0,03","0,04"
Kota Batu,Januari,2025,390,9.9,0,0.0,0.0,0.0,476,20.0,20.93,21.49,10038,57517,197,1051,"0,03","0,05"
Kota Batu,Februari,2025,390,41.3,0,0.0,0.0,0.0,476,64.0,9.59,21.91,10038,57417,335,1772,"0,03","0,05"
Kota Batu,Maret,2025,390,17.7,0,0.0,0.0,0.0,475,106.9,11.16,22.02,12319,70341,273,1465,"0,05","0,07"
Kota Batu,April,2025,390,115.3,1,0.0,0.0,0.0,489,159.4,10.21,21.64,12319,70218,168,896,"0,08","0,13"
Kota Batu,Mei,2025,390,152.1,1,0.0,0.0,0.0,489,228.9,12.52,21.81,7756,44131,192,1031,"0,18","0,28"
Kota Batu,Juni,2025,390,187.9,1,0.0,0.0,0.0,489,291.2,2.97,21.39,7756,44054,250,1315,"0,33","0,50"
Kota Batu,Juli,2025,443,234.0,1,0.0,0.0,0.0,525,365.9,3.33,20.6,7756,43976,198,1036,"0,46","0,74"
Kota Batu,Agustus,2025,443,263.9,1,0.0,0.0,0.0,525,418.9,4.43,21.12,7756,43898,173,906,"0,55","0,88"
Kota Batu,September,2025,443,300.3,1,0.0,1.0,0.0,760,477.2,3.66,21.85,12319,69602,199,1047,"0,75","1,20"
Kota Batu,Oktober,2025,443,331.2,1,1.0,1.0,0.0,760,542.9,6.9,22.38,12319,69479,173,933,"0,48","0,76"
Kota Batu,November,2025,443,376.63,1,1.0,0.0,0.0,760,639.95,28.23,21.3,10038,56513,149,791,"0,16","0,25"
Kota Batu,Desember,2025,443,413.35,1,1.0,0.0,0.0,717,705.5,14.36,21.65,10038,56413,145,760,"0,02","0,03"
Kota Blitar,Januari,2023,688,120.2,0,0.0,0.0,0.0,371,66.3,7.64,25.01,8360,48655,67,353,"0,06","0,10"
Kota Blitar,Februari,2023,688,247.9,0,0.0,0.0,0.0,371,138.4,13.03,24.86,8360,48571,112,593,"0,06","0,10"
Kota Blitar,Maret,2023,688,279.9,0,0.0,0.0,0.0,371,157.6,9.81,25.1,10260,59508,91,482,"0,09","0,15"
Kota Blitar,April,2023,688,314.1,0,0.0,0.0,0.0,371,176.0,6.9,25.21,10260,59405,60,313,"0,15","0,25"
Kota Blitar,Mei,2023,688,409.8,0,0.0,0.0,0.0,371,223.0,3.88,24.91,6460,37338,64,339,"0,32","0,54"
Kota Blitar,Juni,2023,688,452.4,0,0.0,0.0,0.0,371,244.9,1.1,25.17,6460,37274,81,430,"0,59","0,98"
Kota Blitar,Juli,2023,688,484.4,0,0.0,0.0,0.0,371,258.0,1.83,24.12,6460,37209,64,339,"0,86","1,50"
Kota Blitar,Agustus,2023,688,497.5,0,0.0,0.0,0.0,371,264.7,0.31,24.1,6460,37145,59,304,"1,07","1,85"
Kota Blitar,September,2023,688,549.3,0,0.0,0.0,0.0,371,289.7,0.35,24.79,10260,58892,66,342,"1,47","2,56"
Kota Blitar,Oktober,2023,688,576.2,0,0.0,0.0,0.0,371,302.7,01.08,26.46,10260,58789,59,313,"0,92","1,60"
Kota Blitar,November,2023,688,610.7,0,0.0,0.0,0.0,371,321.9,2.83,26.65,8360,47819,50,264,"0,30","0,50"
Kota Blitar,Desember,2023,688,673.2,0,0.0,0.0,0.0,371,360.6,3.27,26.36,8360,47735,49,254,"0,03","0,05"
Kota Blitar,Januari,2024,370,3.3,0,0.0,0.0,0.0,234,3.0,9.85,25.79,8485,49467,61,324,"0,04","0,07"
Kota Blitar,Februari,2024,370,69.1,0,0.0,0.0,0.0,234,42.6,11.17,25.91,8485,49382,112,594,"0,04","0,07"
Kota Blitar,Maret,2024,370,110.8,0,0.0,0.0,0.0,234,69.0,7.62,26.11,10413,60499,85,448,"0,06","0,11"
Kota Blitar,April,2024,632,129.5,0,0.0,0.0,0.0,501,80.0,7.4,26.02,10413,60395,56,291,"0,10","0,17"
Kota Blitar,Mei,2024,632,192.8,0,0.0,0.0,0.0,501,119.9,1.41,25.82,6556,37959,61,324,"0,22","0,37"
Kota Blitar,Juni,2024,632,264.2,0,0.0,0.0,0.0,501,166.6,0.88,25.78,6556,37893,77,408,"0,40","0,68"
Kota Blitar,Juli,2024,632,350.9,0,0.0,0.0,0.0,501,241.7,0.78,24.89,6556,37828,64,341,"0,60","1,05"
Kota Blitar,Agustus,2024,632,404.5,0,0.0,0.0,0.0,501,290.5,0.32,24.77,6556,37762,55,297,"0,75","1,31"
